,name,date_imp,price,price_elasticity
0,32GB iPod touch (Gold) (6th Generation),3,197.66666666666666,8.029557963749387
1,Apple - Smart Cover for Apple iPad and iPadÃÂ® Air 2 - Charcoal Gray,4,45.0625,-3.5127614599542962
2,Apple MD825AM/A Lightning to VGA Adapter for iPhones,4,45.2475,-6.187923715328292
3,HP ENVY 34-b010 34-inch Curved All-in-One Computer (Intel Core i7-7700T,1,1972.24,-18.063491680397178
4,JBL Clip2 Portable Speaker,10,53.955000000000005,-6.379416888399953
5,"Kanto - sub6 6 80W Powered Subwoofer - Gloss Black""",3,239.99,-27.726103896103872
6,MU8000-Series 65-Class HDR UHD Smart LED TV,6,2097.99,-3.8551727676475904
7,Panasonic - Lumix G85 Mirrorless Camera with 12-60mm Lens - Black,11,943.4445454545454,-34.77852419190721
8,"SAMSUNG 65 Class 4K (2160P) Ultra HD Smart QLED HDR TV QN65Q6FNAFXZA (2018 Model)""",10,1583.091,-3.8463404000371235
9,SRS-XB40 Bluetooth Speaker (Black),7,205.14285714285714,-7.315131631573671
10,SRS-ZR7 Wireless Speaker,5,278.0,-22.656263027968144
11,"Samsung - 40 Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR""",4,647.99,-6.722044753951548
12,SanDisk - Ultra 500GB Internal SATA Solid State Drive for Laptops,6,153.99,-6.683468402288709
13,SanDisk Extreme 500 480GB USB 3.0 Portable SSD (Solid State Drive) - SDSSDEXT-480G,7,180.2757142857143,6.8494532318666135
14,SanDisk Ultra II 1TB SATA III SSD - 2.5-Inch 7mm Height Solid State Drive - SDSSDHII-1T00-G25,3,282.99333333333334,12.293400582288134
15,Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46),7,44.40714285714286,-19.85256478156048
16,Sony MDR-1A Headphone - Black (International Version U.S. warranty may not apply),7,276.85571428571427,-18.97230381410059
17,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),1,148.0,-3.9932541520375513
18,Vectros Bumper for 13 MacBook Pro Retina (Black),6,39.95,-4.014415135086945
19,WD - Blue 500GB Internal SATA Hard Drive,1,45.75,11.575161083525442
20,YU2 Powered Desktop Speakers (Matte Black),4,199.99,-21.74889999999993
21,YU2 Powered Desktop Speakers (Matte Gray),4,199.99,-12.211494949494897
22,instax mini Rainbow Instant Film (10 Exposures),14,29.645000000000003,1.6831946065193744
23,sub6 100W 6 Active Subwoofer (Matte Gray),3,239.99,-12.299149618372216
