,column_price,column_demand,price_elasticity
88,sub6 100W 6 Active Subwoofer (Matte Gray),32GB iPod touch (Gold) (6th Generation),-13.57889436249361
89,sub6 100W 6 Active Subwoofer (Matte Gray),YU2 Powered Desktop Speakers (Matte Gray),-10.041118320831034
83,YU2 Powered Desktop Speakers (Matte Gray),32GB iPod touch (Gold) (6th Generation),-15.548222222222176
87,YU2 Powered Desktop Speakers (Matte Gray),sub6 100W 6 Active Subwoofer (Matte Gray),-14.999230769230701
85,YU2 Powered Desktop Speakers (Matte Gray),SRS-XB40 Bluetooth Speaker (Black),-13.742152380952312
84,YU2 Powered Desktop Speakers (Matte Gray),Apple - Smart Cover for Apple iPad and iPadÃÂ® Air 2 - Charcoal Gray,-9.285238095238048
75,YU2 Powered Desktop Speakers (Matte Black),"Kanto - sub6 6 80W Powered Subwoofer - Gloss Black""",-28.245324675324643
77,YU2 Powered Desktop Speakers (Matte Black),SRS-ZR7 Wireless Speaker,-26.63130612244892
82,YU2 Powered Desktop Speakers (Matte Black),sub6 100W 6 Active Subwoofer (Matte Gray),-21.987898901098976
76,YU2 Powered Desktop Speakers (Matte Black),SRS-XB40 Bluetooth Speaker (Black),-21.660128979591896
78,YU2 Powered Desktop Speakers (Matte Black),"Samsung - 40 Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR""",-20.71323809523803
79,YU2 Powered Desktop Speakers (Matte Black),Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),-19.387590857142875
81,YU2 Powered Desktop Speakers (Matte Black),YU2 Powered Desktop Speakers (Matte Gray),-17.70040346320352
73,YU2 Powered Desktop Speakers (Matte Black),Apple - Smart Cover for Apple iPad and iPadÃÂ® Air 2 - Charcoal Gray,-14.400632199546529
74,YU2 Powered Desktop Speakers (Matte Black),Apple MD825AM/A Lightning to VGA Adapter for iPhones,-12.956791489361692
71,WD - Blue 500GB Internal SATA Hard Drive,SanDisk Ultra II 1TB SATA III SSD - 2.5-Inch 7mm Height Solid State Drive - SDSSDHII-1T00-G25,15.003757446001998
69,Vectros Bumper for 13 MacBook Pro Retina (Black),Panasonic - Lumix G85 Mirrorless Camera with 12-60mm Lens - Black,-5.851524943416057
67,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),SanDisk Ultra II 1TB SATA III SSD - 2.5-Inch 7mm Height Solid State Drive - SDSSDHII-1T00-G25,-4.96893515879499
66,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),Apple MD825AM/A Lightning to VGA Adapter for iPhones,-2.8187271124540003
62,Sony MDR-1A Headphone - Black (International Version U.S. warranty may not apply),SanDisk - Ultra 500GB Internal SATA Solid State Drive for Laptops,-22.26018565894707
